x1,y1,z1,x2,y2,z2
9.68E+01,-5.62E+00,1.41E+01,1,559249,644425
9.76E+01,-5.03E+00,1.38E+01,1,559249,645179
9.66E+01,-4.29E+00,1.25E+01,1,559249,645934
1.01E+02,-3.09E+00,1.15E+01,1,559253,632361
9.88E+01,-4.29E+00,1.32E+01,1,559253,633492
1.01E+02,-2.86E+00,1.20E+01,1,559253,634623
1.00E+02,-4.26E+00,1.24E+01,1,559253,635754
9.89E+01,-3.13E+00,1.26E+01,1,559253,636508
1.01E+02,-3.83E+00,1.28E+01,1,559253,637639
9.97E+01,-3.69E+00,1.38E+01,1,559253,638018
9.92E+01,-4.19E+00,1.41E+01,1,559253,639149
9.71E+01,-3.51E+00,1.30E+01,1,559253,640278
9.81E+01,-6.55E+00,1.51E+01,1,559311,696734
9.79E+01,-4.14E+00,1.03E+01,1,559312,695603
9.74E+01,-4.42E+00,1.06E+01,1,559312,696357
9.60E+01,-4.29E+00,1.01E+01,1,559313,695604
9.64E+01,-3.96E+00,1.15E+01,1,559313,696735
9.86E+01,-5.13E+00,1.35E+01,1,559314,697488
1.00E+02,-6.11E+00,1.26E+01,1,559314,697867
9.55E+01,-4.46E+00,1.59E+01,1,559315,697865
9.67E+01,-6.43E+00,1.74E+01,1,559315,698996
9.69E+01,-3.60E+00,9.08E+00,1,559316,697866
9.64E+01,-3.09E+00,8.79E+00,1,559316,698997
9.79E+01,-4.57E+00,1.48E+01,1,699816,706662
9.61E+01,-4.60E+00,1.47E+01,1,699816,707040
9.69E+01,-8.04E+00,2.36E+01,1,699817,707418
9.64E+01,-8.15E+00,2.30E+01,1,699817,707798
9.64E+01,-5.82E+00,2.19E+01,1,699818,708175
9.70E+01,-6.22E+00,2.02E+01,1,699818,708555
9.75E+01,-5.05E+00,1.62E+01,1,699819,708934
9.91E+01,-5.32E+00,1.58E+01,1,699819,709312
9.48E+01,-7.43E+00,2.93E+01,1,699820,709690
9.37E+01,-5.83E+00,2.75E+01,1,699820,710069
9.77E+01,-6.41E+00,1.96E+01,1,699821,710446
9.69E+01,-6.45E+00,2.00E+01,1,699821,710826
9.67E+01,-4.35E+00,1.37E+01,1,699822,711203
9.76E+01,-4.10E+00,1.40E+01,1,699822,711583
9.61E+01,-8.74E+00,2.52E+01,1,699823,711961
9.82E+01,-9.16E+00,2.54E+01,1,699823,712339
9.77E+01,-4.87E+00,1.43E+01,1,699824,712717
9.75E+01,-4.28E+00,1.53E+01,1,699824,713096
9.61E+01,-4.78E+00,1.73E+01,1,699825,713475
9.59E+01,-6.37E+00,1.88E+01,1,699825,713853
9.64E+01,-4.73E+00,1.29E+01,1,699826,714230
9.61E+01,-3.65E+00,1.34E+01,1,699826,714608
9.75E+01,-4.89E+00,1.43E+01,1,699827,699846
9.85E+01,-2.05E+00,1.18E+01,1,699827,700224
8.89E+01,2.16E+01,3.42E+00,0,699828,700602
8.58E+01,2.16E+01,4.56E+00,0,699828,700981
9.97E+01,-3.51E+00,1.30E+01,1,699829,701359
9.85E+01,-4.85E+00,1.51E+01,1,699829,701739
9.52E+01,-3.64E+00,1.69E+01,1,699831,702496
9.66E+01,-5.96E+00,2.14E+01,1,699832,702876
9.44E+01,-5.60E+00,2.27E+01,1,699832,703256
9.78E+01,-3.79E+00,1.50E+01,1,699833,703633
9.79E+01,-4.27E+00,1.36E+01,1,699833,704013
9.68E+01,-6.36E+00,2.14E+01,1,699834,704391
9.58E+01,-6.05E+00,2.21E+01,1,699834,704770
7.34E+01,5.70E+01,-1.45E+01,3,699835,705147
6.97E+01,6.08E+01,-1.68E+01,3,699835,705527
9.64E+01,-3.42E+00,1.38E+01,1,699836,705905
9.77E+01,-4.64E+00,1.49E+01,1,699836,706284
9.66E+01,-7.17E+00,1.76E+01,1,699837,714988
9.72E+01,-6.08E+00,1.61E+01,1,699837,715367
9.63E+01,-4.51E+00,1.50E+01,1,699838,715745
9.62E+01,-4.77E+00,1.42E+01,1,699838,716123
9.78E+01,-4.33E+00,1.62E+01,1,699839,716501
9.74E+01,-6.70E+00,1.69E+01,1,699839,716880
9.60E+01,-6.70E+00,1.91E+01,1,699840,717259
9.72E+01,-5.23E+00,1.84E+01,1,699840,717637
9.78E+01,-6.02E+00,2.10E+01,1,699841,718016
9.63E+01,-7.35E+00,2.17E+01,1,699841,718395
9.52E+01,-5.32E+00,2.20E+01,1,699842,718773
9.35E+01,-6.66E+00,2.13E+01,1,699842,719153
9.49E+01,-4.67E+00,1.48E+01,1,699843,719531
9.72E+01,-5.36E+00,1.39E+01,1,699843,719910
9.67E+01,-4.80E+00,1.52E+01,1,721043,721475
9.66E+01,-5.77E+00,1.50E+01,1,721043,722606
